layer,attention_module,module_name,head_index,mean_abs_grad,max_abs_grad,grad_x_activation,l2_grad,head_importance_normalized,target_mask_index,notes
0,self_attn,transformer.encoder.layers.0.self_attn,0,6.18860383383435e-07,7.2479248046875e-05,3.408360171874847e-08,0.0008748944383114576,0.2681901722396694,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,1,6.034720740899502e-07,8.726119995117188e-05,3.986856356164026e-08,0.0008897874504327774,0.31370971345035203,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,2,5.865838943464041e-07,6.198883056640625e-05,3.469045140036542e-08,0.0008421077509410679,0.27296522864302225,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,3,5.684328243660275e-07,6.914138793945312e-05,3.130476855517372e-08,0.0008050489122979343,0.24632465019437244,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,4,6.002268833071867e-07,9.393692016601562e-05,3.60388590081584e-08,0.0008438823278993368,0.2835753065205711,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,5,5.802451710223977e-07,6.4849853515625e-05,4.119133123481333e-08,0.000815940962638706,0.32411804098066155,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,6,5.731328087676957e-07,6.961822509765625e-05,4.6997548963645386e-08,0.0008316567400470376,0.36980483622037746,0,head-slot proxy from output feature chunks
0,self_attn,transformer.encoder.layers.0.self_attn,7,5.883875928702764e-07,6.532669067382812e-05,4.576038037384933e-08,0.0008304497459903359,0.36007005349627347,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,0,6.020196110512188e-07,7.05718994140625e-05,9.970992920216304e-08,0.0008479292737320065,0.784577384379648,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,1,5.860716782990494e-07,8.58306884765625e-05,1.1180246417552553e-07,0.0008600017172284424,0.8797286851160478,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,2,5.65163134069735e-07,7.152557373046875e-05,1.2029914842059952e-07,0.0008144035818986595,0.9465856807456797,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,3,5.623036827273609e-07,7.677078247070312e-05,1.0951298889949612e-07,0.0007865169900469482,0.8617137237371558,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,4,5.827557174598041e-07,7.581710815429688e-05,1.0880087586428999e-07,0.0008208379149436951,0.8561103922834559,0,head-slot proxy from output feature chunks
0,cross_attn_image,transformer.encoder.layers.0.cross_attn_image,5,5.745367843701388e-07,6.67572021484375e-05,1.1533356314430421e-07,0.000801344751380384,0.9075134846347898,0,head-slot proxy from output feature chunks
